id;firstname;lastname;birthdate;country_id;position;foot;height
141;Ruben;Sobrino Pozuelo;16.02.1992;158;Forward;right;185
142;Vasili;Berezutski;20.06.1982;141;Defender;right;189
143;Julio Cesar;Villalba Gaona;11.09.1998;134;Forward;right;174
144;Onyinye Wilfred;Ndidi;16.12.1996;126;Midfielder;right;187
145;Abdullahi;Shehu;12.03.1993;126;Defender;right;181
146;Tomas;Hubocan;17.09.1985;152;Defender;right;184
147;Bruno Eduardo;Regufe Alves;27.11.1981;138;Defender;right;187
148;Achraf;Hakimi Mouh;4.11.1998;158;Defender;right;179
149;Eloi;Amagat Arimany;21.05.1985;158;Midfielder;right;180
150;Vicente;Guaita Panadero;10.01.1987;158;Goalkeeper;right;190
151;Jordi;Alba Ramos;21.03.1989;158;Defender;left;170
152;Antonio;Barragan Fernandez;12.06.1987;158;Defender;right;183
153;Igor;Akinfeev;8.04.1986;141;Goalkeeper;right;186
154;Adil;Rami;27.12.1985;61;Defender;right;190
155;Victor;Ruiz Torre;25.01.1989;158;Defender;left;185
156;Sabin;Merino Zuloaga;4.01.1992;158;Forward;right;187
157;Ever Maximiliano David;Banega;29.06.1988;7;Midfielder;right;174
158;Juan;Bernat Velasco;1.03.1993;158;Defender;left;170
159;Sergio;Canales Madrazo;16.02.1991;158;Midfielder;left;180
160;Daniel;Parejo Munoz;16.04.1989;158;Midfielder;right;182
161;Cristian;Portugues Manzanera;21.05.1992;158;Midfielder;right;178
162;Keisuke;Honda;13.06.1986;84;Midfielder;left;182
163;Mehmet;Topal;3.03.1986;178;Midfielder;right;187
164;Aritz;Aduriz Zubeldia;11.02.1981;158;Forward;right;182
165;Francisco;Alcacer Garcia;30.08.1993;158;Forward;right;175
166;Pablo Daniel;Piatti;31.03.1989;7;Forward;left;163
167;Antonio;Adan Garrido;13.05.1987;158;Goalkeeper;left;191
168;Fernando;Pacheco Flores;18.05.1992;158;Goalkeeper;left;186
169;Dalbert Henrique;Chagas Estevao;8.09.1993;23;Defender;left;181
170;Ahmed;Musa;14.10.1992;126;Forward;right;171
171;Jose Ignacio;Fernandez Iglesias;18.01.1990;158;Defender;right;180
172;Sergio;Ramos Garcia;30.03.1986;158;Defender;right;184
173;Ricardo Alberto;Silveira de Carvalho;18.05.1978;138;Defender;right;183
174;Pedro Filipe;Teodosio Mendes;1.10.1990;166;Defender;right;186
175;Raphael;Varane;25.04.1993;61;Defender;right;191
176;Marcelo;Vieira da Silva Junior;12.05.1988;23;Defender;left;174
177;Niklas;Sule;3.09.1995;64;Defender;right;195
178;Jose Maria;Callejon Bueno;11.02.1987;158;Forward;right;178
179;Lassana;Diarra;10.03.1985;61;Midfielder;right;173
180;Esteban Felix;Granero Molina;2.07.1987;158;Midfielder;right;180
181;Sami;Khedira;4.04.1987;64;Midfielder;right;189
182;Mesut;Ozil;15.10.1988;64;Midfielder;left;180
183;Nuri;Sahin;5.09.1988;64;Midfielder;left;180
184;Karim;Benzema;19.12.1987;61;Forward;right;185
185;Cristiano Ronaldo;dos Santos Aveiro;5.02.1985;138;Forward;right;187
186;Gonzalo Gerardo;Higuain;10.12.1987;61;Forward;right;184
187;Juan Francisco;Moreno Fuertes;11.09.1988;158;Defender;right;180
188;Oier;Olazabal Paredes;14.09.1989;158;Goalkeeper;left;189
189;Felipe Salvador;Caicedo Corozo;5.09.1988;51;Forward;left;183
190;Daniel;Alves da Silva;6.05.1983;23;Defender;right;172
191;Marc;Bartra Aregall;15.01.1991;158;Defender;right;184
192;Andreu;Fontas Prat;14.11.1989;158;Defender;left;186
193;Sergi;Gomez Sola;28.07.1992;158;Defender;right;185
194;Martin;Montoya Torralbo;14.04.1991;158;Defender;right;175
195;Marc;Muniesa Martinez;27.03.1992;158;Defender;left;179
196;Alessio;Cragno;28.06.1994;82;Goalkeeper;right;183
197;Rafael;Alcantara do Nascimento;12.02.1993;23;Midfielder;left;174
198;Thiago;Alcantara do Nascimento;11.04.1991;158;Midfielder;right;174
199;Sergio;Busquets i Burgos;16.07.1988;158;Midfielder;right;189
200;Sergi;Roberto Carnicer;7.02.1992;158;Defender;right;178
201;Filippo;Costa;21.05.1995;82;Defender;left;176
202;Jonathan;dos Santos Ramirez;26.04.1990;110;Midfielder;right;172
203;Andres;Iniesta Lujan;11.05.1984;158;Midfielder;right;171
204;Daniele;Rugani;29.07.1994;82;Defender;right;188
205;Leonardo;Capezzi;28.03.1995;82;Midfielder;right;178
206;Cristian;Tello Herrera;11.08.1991;158;Forward;right;178
207;Lionel Andres;Messi Cuccittini;24.06.1987;7;Forward;left;170
208;Alberto;Grassi;7.03.1995;82;Midfielder;right;184
209;Artem;Dzyuba;22.08.1988;141;Forward;right;196
210;Jose Andres;Guardado Hernandez;28.09.1986;110;Midfielder;left;169
211;Alexandr;Samedov;19.07.1984;141;Midfielder;right;177
212;Kepa;Arrizabalaga Revuelta;3.10.1994;158;Goalkeeper;right;189
213;Raul;Fernandez-Cavada Mateos;13.03.1988;158;Goalkeeper;right;196
214;Gorka;Iraizoz Moreno;6.03.1981;158;Goalkeeper;right;191
215;Riccardo;Piscitelli;10.10.1993;82;Goalkeeper;right;185
216;Jonas;Ramalho Chimeno;10.06.1993;158;Defender;right;181
217;Enric;Saborit Teixidor;27.04.1992;158;Defender;left;187
218;Mikel;San Jose Dominguez;30.05.1989;158;Midfielder;right;187
219;Ander;Iturraspe Derteano;8.03.1989;158;Midfielder;right;187
220;Javier;Martinez Aginaga;2.09.1988;158;Midfielder;right;190
221;Markel;Susaeta Laskurain;14.12.1987;158;Midfielder;right;179
222;Oscar;de Marcos Arana;14.04.1989;158;Defender;right;182
223;Ibai;Gomez Perez;11.11.1989;158;Midfielder;right;177
224;Iker;Muniain Goni;19.12.1992;158;Forward;right;169
225;Sergio;Asenjo Andres;28.06.1989;158;Goalkeeper;right;189
226;Clement;Lenglet;17.06.1995;61;Defender;left;186
227;Diego Roberto;Godin Leal;16.02.1986;186;Defender;right;187
228;Filipe Luis;Kasmirski;9.08.1985;23;Defender;left;182
229;Seko;Fofana;7.05.1995;61;Midfielder;right;183
230;Cristian Daniel;Ansaldi;20.09.1986;7;Defender;left;181
231;Jorge;Resurreccion Merodio;8.01.1992;158;Midfielder;right;177
232;Eduardo Antonio;Salvio;13.07.1990;7;Midfielder;right;173
233;Juan Francisco;Torres Belen;9.01.1985;158;Defender;right;180
234;Arda;Turan;30.01.1987;178;Midfielder;right;175
235;Radamel Falcao;Garcia Zarate;10.02.1986;36;Forward;right;177
236;Adrian;Lopez Alvarez;8.01.1988;158;Forward;right;183
237;Sergio;Rico Gonzalez;1.09.1993;158;Goalkeeper;right;194
238;Jorge;Andujar Moreno;26.04.1987;158;Defender;right;177
239;Federico Julian;Fazio;17.03.1987;7;Defender;right;195
240;Antonio Manuel;Luna Rodriguez;17.03.1991;158;Defender;left;178
241;Fernando;Navarro i Corbacho;25.06.1982;158;Defender;left;177
242;Alexis;Ruano Delgado;4.08.1985;158;Defender;right;183
243;Layvin;Kurzawa;4.09.1992;61;Defender;left;182
244;Jose Angel;Gomez Campana;31.05.1993;158;Midfielder;right;179
245;Jesus;Navas Gonzalez;21.11.1985;158;Midfielder;right;172
246;Diego;Perotti;26.07.1988;7;Forward;right;179
247;Ivan;Rakitic;10.03.1988;166;Midfielder;right;184
248;Luis Alberto;Romero Alconchel;28.09.1992;158;Midfielder;right;182
249;Ahmet Yilmaz;Calik;26.02.1994;178;Defender;right;184
250;Andres Eduardo;Fernandez Moreno;17.12.1986;158;Goalkeeper;right;185
251;Asier;Riesgo Unamuno;6.10.1983;158;Goalkeeper;right;185
252;Lacina;Traore;20.08.1990;40;Forward;right;203
253;Marcos Danilo;Urena Porras;5.03.1990;39;Forward;right;179
254;Sergio;Postigo Redondo;4.11.1988;158;Defender;right;185
255;Raul;Garcia Escudero;11.07.1986;158;Midfielder;right;184
256;Masoud;Shojaei Soleimani;9.06.1984;78;Midfielder;right;184
257;David;Timor Copovi;17.10.1989;158;Midfielder;left;186
258;Enrique;Sola Clemente;25.02.1986;158;Forward;right;184
259;Diego;Lopez Rodriguez;3.11.1981;158;Goalkeeper;right;196
260;Igor;Smolnikov;8.08.1988;141;Defender;right;178
261;Mateo Pablo;Musacchio;26.08.1990;7;Defender;right;182
262;Bernardo;Mota Veiga de Carvalho e Silva;10.08.1994;138;Midfielder;left;173
263;Cristian Eduardo;Zapata Valencia;30.09.1986;36;Defender;right;187
264;Jaume Vicent;Costa Jorda;18.03.1988;158;Defender;left;171
265;Jonathan;de Guzman;13.09.1987;31;Midfielder;right;173
266;Mubarak;Wakaso;25.07.1990;65;Midfielder;left;171
267;Hernan Arsenio;Perez Gonzalez;25.02.1989;134;Midfielder;right;180
268;Bruno;Soriano Llido;12.06.1984;158;Midfielder;left;184
269;Manuel;Trigueros Munoz;17.10.1991;158;Midfielder;right;178
270;Mehdi;Carcela-Gonzalez;1.07.1989;16;Midfielder;left;176
271;Giuseppe;Rossi;1.02.1987;185;Forward;left;173
272;Wilfredo Daniel;Caballero;28.09.1981;7;Goalkeeper;right;186
273;Ruben Ivan;Martinez Andrade;22.06.1984;158;Goalkeeper;right;188
274;Federico Santiago;Valverde Dipetta;22.07.1998;186;Midfielder;right;181
275;Ian;Pino Soler;23.01.1996;158;Defender;right;187
276;Sergio;Sanchez Ortega;3.04.1986;158;Defender;right;185
277;Francisco Roman;Alarcon Suarez;21.04.1992;158;Midfielder;right;176
278;Ignacio;Camacho Barnola;7.03.1990;158;Midfielder;right;183
279;Jose Luis;Garcia del Pozo;11.01.1991;158;Midfielder;right;182
280;Eliseu;Pereira dos Santos;1.10.1983;138;Defender;left;176
281;Joaquin;Sanchez Rodriguez;21.07.1981;158;Midfielder;right;179
282;Francisco;Portillo Soler;13.06.1990;158;Midfielder;right;169
283;Jeremy;Toulalan;10.09.1983;61;Midfielder;right;183
284;Juan Miguel;Jimenez Lopez;20.05.1993;158;Forward;right;172
285;Benat;Etxebarria Urkiaga;19.02.1987;158;Midfielder;right;177
286;Ruben;Castro Martin;27.06.1981;158;Forward;right;174
287;Jorge;Molina Vidal;22.04.1982;158;Forward;right;188
288;Divock;Okoth Origi;18.04.1995;16;Forward;right;185
289;Ivan;Ramis Barrios;25.10.1984;158;Defender;right;188
290;Pedro;Bigas Rigo;15.09.1990;158;Defender;left;181
291;Gonzalo;Castro Irizabal;14.09.1984;186;Midfielder;left;178
292;Tomas;Pina Isla;14.10.1987;158;Midfielder;right;185
293;Antonio Miguel;Ramirez Martinez;23.11.1986;158;Goalkeeper;right;191
294;Alberto;De La Bella Madureno;2.12.1985;158;Defender;left;179
295;Inigo;Martinez Berridi;17.05.1991;158;Defender;left;182
296;Carlos;Martinez Diez;9.04.1986;158;Defender;right;189
297;Asier;Illarramendi Andonegi;8.03.1990;158;Midfielder;right;179
298;Ruben;Pardo Gutierrez;22.10.1992;158;Midfielder;right;181
299;Xabier;Prieto Argarate;29.08.1983;158;Midfielder;right;187
300;David;Zurutuza Veillet;19.07.1986;61;Midfielder;right;186
301;Imanol;Agirretxe Arruti;24.02.1987;158;Forward;right;187
302;Antoine;Griezmann;21.03.1991;61;Forward;left;175
303;Carlos Alberto;Vela Garrido;1.03.1989;110;Forward;left;177
304;Bernardo Jose;Espinosa Zuniga;11.07.1989;36;Defender;right;192
305;Alvaro;Gonzalez Soberon;8.01.1990;158;Defender;right;183
306;Yannick;Ferreira Carrasco;4.09.1993;16;Forward;right;180
307;Papakouli;Diop;19.03.1986;147;Midfielder;right;179
308;Adrian;Gonzalez Morales;25.05.1988;158;Midfielder;left;183
309;Jairo;Samperio Bustara;11.07.1993;158;Midfielder;right;173
310;Khouma;El Hadji Babacar;17.03.1993;147;Forward;right;185
311;Cristhian Ricardo;Stuani Curbelo;12.10.1986;186;Forward;right;184
312;Roberto;Jimenez Gago;10.02.1986;158;Goalkeeper;right;192
313;Nemanja;Maksimovic;26.01.1995;148;Midfielder;right;184
314;Sergej;Milinkovic-Savic;27.02.1995;158;Midfielder;right;192
315;Hernani;Azevedo Junior;27.03.1994;23;Midfielder;right;188
316;Juan Carlos;Perez Lopez;30.03.1990;158;Defender;left;179
317;Franco;Zuculini;5.09.1990;7;Midfielder;right;176
318;Mikel;Balenziaga Oruesagasti;29.02.1988;158;Defender;left;177
319;Alberto;Bueno Calvo;20.03.1988;158;Forward;right;179
320;Francisco;Casilla Cortes;2.10.1986;158;Goalkeeper;right;191
321;Jordi;Amat Maas;21.03.1992;158;Defender;right;185
322;Zouhair;Feddal;23.12.1989;116;Defender;left;190
323;Hector Alfredo;Moreno Herrera;17.01.1988;110;Defender;left;183
324;Didac;Vila Rossello;9.06.1989;158;Defender;left;185
325;Stanislav;Lobotka;22.11.1994;152;Midfielder;right;170
326;Philippe;Coutinho Correia;12.06.1992;23;Forward;right;171
327;Sergi;Darder Moll;22.12.1993;158;Midfielder;right;180
328;Javier;Lopez Rodriguez;21.01.1986;158;Defender;right;180
329;Sergio;Garcia De La Fuente;9.06.1983;158;Forward;right;174
330;Boubakary;Soumare;27.02.1999;61;Midfielder;right;188
331;Sergio;Alvarez Conde;3.08.1986;158;Goalkeeper;right;179
332;Ruben;Blanco Veiga;25.07.1995;158;Goalkeeper;right;188
333;Yoel;Rodriguez Oterino;28.08.1988;158;Goalkeeper;right;186
334;Hugo;Mallo Novegil;22.06.1991;158;Defender;right;173
335;Houssem;Aouar;30.06.1998;61;Midfielder;right;175
336;Iago;Aspas Juncal;1.08.1987;158;Forward;left;176
337;Fabian Ariel;Orellana Valenzuela;27.01.1986;34;Midfielder;right;168
338;Yury;Gazinskiy;20.07.1989;141;Midfielder;right;184
339;Francisco Jose;Molinero Calderon;26.07.1985;158;Defender;right;175
340;Domagoj;Vida;29.04.1989;41;Defender;right;184
341;Milan;Badelj;25.02.1989;41;Midfielder;right;186
342;Manuel Rolando;Iturra Urrutia;23.06.1984;34;Midfielder;right;174
343;Mateo;Kovacic;6.05.1994;10;Midfielder;right;178
344;Sime;Vrsaljko;10.01.1992;41;Defender;right;181
345;Enrique;Garcia Martinez;25.11.1989;158;Forward;right;186
346;Andrej;Kramaric;19.06.1991;41;Forward;right;177
347;Pontus;Wernbloom;25.06.1986;165;Midfielder;right;187
348;Leo;Lacroix;27.02.1992;166;Defender;right;197
349;Leandro Daniel;Cabrera Sasia;17.06.1991;186;Defender;left;187
350;Keylor;Navas Gamboa;15.12.1986;39;Goalkeeper;right;185
351;Gustavo Daniel;Cabral Caceres;14.10.1985;7;Defender;right;182
352;Ivan;Lopez Mendoza;23.08.1993;158;Defender;right;175
353;Pedro;Lopez Munoz;1.11.1983;158;Defender;right;174
354;Nabil;El Zhar;27.08.1986;61;Midfielder;right;171
355;Roger;Marti Salvador;3.01.1991;158;Forward;right;179
356;Marcus;Rashford;31.10.1997;184;Forward;right;187
357;Ivan;Cuellar Sacristan;25.05.1984;158;Goalkeeper;left;187
358;Alejandro;Galvez Jimena;6.06.1989;158;Defender;right;188
359;Damian Nicolas;Suarez Suarez;27.04.1988;186;Defender;right;172
360;Ante;Budimir;21.07.1991;21;Forward;left;190
361;Mateo;Pavlovic;9.06.1990;21;Defender;right;194
362;Miguel Angel;Moya Rumbo;2.04.1984;158;Goalkeeper;right;188
363;Miguel;Torres Gomez;28.01.1986;158;Defender;right;185
364;Mehdi;Lacen;15.03.1984;61;Midfielder;left;176
365;Ruben Salvador;Perez Del Marmol;26.04.1989;158;Midfielder;right;178
366;Pedro Leon;Sanchez Gil;24.11.1986;158;Midfielder;right;183
367;Pablo;Sarabia Garcia;11.05.1992;158;Midfielder;left;178
368;Luca;Pellegrini;7.03.1999;82;Defender;left;178
369;Andreas;Christensen;10.04.1996;47;Defender;right;188
370;Sergio;Enrich Ametller;26.02.1990;158;Forward;right;181
371;Jeison Fabian;Murillo Ceron;27.05.1992;36;Defender;right;182
372;Andreas Evald;Cornelius;16.03.1993;47;Forward;left;193
373;Ante;Rebic;21.09.1993;41;Forward;right;185
374;Eneko;Boveda Altube;14.12.1988;158;Defender;right;182
375;Ferran;Torres Garcia;29.02.2000;158;Midfielder;right;183
376;Ander;Capa Rodriguez;8.02.1992;158;Defender;right;173
377;Xabier;Etxeita Gorritxategi;31.10.1987;158;Defender;right;186
378;Angel Luis;Rodriguez Diaz;26.04.1987;158;Forward;right;172
379;Hordur;Bjorgvin Magnusson;11.02.1993;75;Defender;left;190
380;Marlon;Santos da Silva Barbosa;7.09.1995;23;Defender;right;182
381;David;Rodriguez Lomban;5.06.1987;158;Defender;right;186
382;Simone;Pontisso;20.03.1997;82;Midfielder;right;186
383;Assane;Diousse El Hadji;20.09.1997;147;Midfielder;left;175
384;Pedro;Alcala Guirado;19.03.1989;158;Defender;right;196
385;Samuel;Moutoussamy;12.08.1996;61;Midfielder;left;176
386;Kevin;N'Doram;22.01.1996;61;Midfielder;right;185
387;Aleix;Vidal Parreu;21.08.1989;158;Midfielder;right;177
388;Joaquin;Navarro Jimenez;23.01.1990;158;Defender;right;177
389;Borja;Garcia Freire;2.11.1990;158;Midfielder;right;175
390;David;Lopez Silva;9.10.1989;158;Defender;right;183
391;Daniel;Gimenez Hernandez;30.07.1983;158;Goalkeeper;right;182
392;Chidozie;Collins Awaziem;1.01.1997;126;Defender;right;189
393;Alessandro;Florenzi;11.03.1991;82;Midfielder;right;173
394;Roberto;Roman Triguero;11.07.1985;158;Defender;right;175
395;Javier;Fuego Martinez;4.01.1984;158;Midfielder;right;182
396;Diego;da Silva Costa;7.10.1988;23;Forward;right;188
397;Daniel;Pacheco Lobato;5.01.1991;158;Midfielder;right;168
398;David;Pavelka;18.05.1991;44;Midfielder;right;185
399;Mariano Damian;Barbosa;27.07.1984;7;Goalkeeper;right;188
400;Raul;Lizoain Cruz;27.01.1991;158;Goalkeeper;left;187
401;David;Garcia Santana;25.02.1982;158;Defender;right;183
402;Victor;Laguardia Cisneros;5.11.1989;158;Defender;right;185
403;Juan Pedro;Ramirez Lopez;30.06.1991;158;Defender;right;190
404;Javi;Castellano Betancor;2.11.1987;158;Midfielder;right;181
405;Jeronimo;Figueroa Cabrera;15.07.1982;158;Midfielder;left;179
406;Jose Vicente;Gomez Umpierrez;31.08.1988;158;Midfielder;left;186
407;Roque;Mesa Quevedo;7.06.1989;158;Midfielder;right;171
408;Dani;Castellano Betancor;2.11.1987;158;Defender;left;178
409;Lorenzo Jesus;Moron Garcia;30.12.1993;158;Forward;right;180
410;Victor;Machin Perez;2.11.1989;158;Midfielder;right;184
411;Hector Junior;Firpo Adames;22.08.1996;50;Defender;left;184
412;Rodrigo;Hernandez Cascante;22.06.1996;158;Midfielder;right;190
413;Adrian;Dieguez Grande;4.02.1996;158;Defender;left;187
414;Jonathan;Castro Otto;3.03.1994;158;Defender;right;175
